,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
661,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,eng Premier League,19,1997,6,432,72,12.6,4.8,4,,3,2,,3,1.67,8,7,+1,+0.21,+0.60,Matches
662,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,eng Premier League,25,1991,38,3420,90,100.0,38.0,38,,38,0,,0,1.21,55,67,-12,-0.32,,Matches
663,Duje Čop\Duje-Cop,hr CRO,FW,Sporting Gijón,es La Liga,26,1990,31,2269,73,66.3,25.2,27,,16,4,,1,0.84,30,39,-9,-0.36,+1.29,Matches
664,Alex Coppola\Alex-Coppola,it ITA,DF,Genoa,it Serie A,19,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
665,Domenico Coppola\Domenico-Coppola,it ITA,GK,Torino,it Serie A,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
666,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Arsenal,eng Premier League,25,1991,29,1779,61,52.0,19.8,22,,9,7,,6,1.97,37,27,+10,+0.51,-0.76,Matches
667,Sébastien Corchia\Sebastien-Corchia,fr FRA,DFMF,Lille,fr Ligue 1,25,1990,38,3416,90,99.9,38.0,38,,37,0,,0,1.21,40,47,-7,-0.18,-0.18,Matches
668,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,33,1983,36,3236,90,94.6,36.0,36,,35,0,,1,0.94,33,54,-21,-0.58,+0.88,Matches
669,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Mainz 05,de Bundesliga,23,1993,29,2345,81,76.6,26.1,27,,15,2,,0,1.17,34,38,-4,-0.15,+0.73,Matches
670,Benjamin Corgnet\Benjamin-Corgnet,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,29,1987,10,397,40,11.6,4.4,3,,0,7,,1,1.30,7,7,0,0.00,+0.03,Matches
671,Jack Cork\Jack-Cork,eng ENG,MF,Swansea City,eng Premier League,27,1989,30,2232,74,65.3,24.8,25,,19,5,,6,1.00,32,51,-19,-0.77,-0.31,Matches
672,Maxwel Cornet\Maxwel-Cornet,ci CIV,FWMF,Lyon,fr Ligue 1,19,1996,33,1899,58,55.5,21.1,19,,10,14,,2,1.85,54,26,+28,+1.33,+1.27,Matches
673,Ángel Correa\Angel-Correa,ar ARG,MFFW,Atlético Madrid,es La Liga,21,1995,31,1241,40,36.3,13.8,10,,3,21,,6,1.97,34,12,+22,+1.60,+0.73,Matches
674,Joaquín Correa\Joaquin-Correa,ar ARG,MFFW,Sevilla,es La Liga,21,1994,26,1318,51,38.5,14.6,15,,8,11,,10,1.81,25,22,+3,+0.20,-0.52,Matches
675,Jonathan Correia\Jonathan-Correia,fr FRA,DF,Guingamp,fr Ligue 1,22,1994,0,,,,,0,,0,0,,4,,,,,,,Matches
676,Uroš Ćosić\Uros-Cosic,rs SRB,DF,Empoli,it Serie A,23,1992,14,961,69,28.1,10.7,8,,7,6,,16,0.86,8,14,-6,-0.56,+0.39,Matches
677,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,32,1983,18,1541,86,45.1,17.1,17,,17,1,,20,0.89,20,26,-6,-0.35,+0.22,Matches
678,Andrea Costa\Andrea-Costa,it ITA,DF,Empoli,it Serie A,30,1986,26,2083,80,60.9,23.1,25,,22,1,,4,0.85,20,36,-16,-0.69,+0.39,Matches
679,Bryan Costa\Bryan-Costa,it ITA,GK,Sassuolo,it Serie A,18,1998,0,,,,,0,,0,0,,5,,,,,,,Matches
680,Danny da Costa\Danny-da-Costa,de GER,DF,Leverkusen,de Bundesliga,23,1993,3,111,37,3.6,1.2,1,,0,2,,10,1.33,3,2,+1,+0.81,+0.90,Matches
681,Diego Costa\Diego-Costa,es ESP,FW,Chelsea,eng Premier League,27,1988,35,3082,88,90.1,34.2,35,,27,0,,1,2.40,70,30,+40,+1.17,-2.03,Matches
682,Douglas Costa\Douglas-Costa,br BRA,MFFW,Bayern Munich,de Bundesliga,25,1990,23,1420,62,46.4,15.8,14,,8,9,,3,2.52,40,8,+32,+2.03,+0.11,Matches
683,Filippo Costa\Filippo-Costa,it ITA,DFMF,Chievo,it Serie A,21,1995,1,50,50,1.5,0.6,0,,0,1,,12,0.00,0,3,-3,-5.40,-5.00,Matches
684,Jaume Costa\Jaume-Costa,es ESP,DF,Villarreal,es La Liga,28,1988,31,2681,86,78.4,29.8,30,,28,1,,3,1.81,45,29,+16,+0.54,-0.32,Matches
685,David Costas\David-Costas,es ESP,DF,Celta Vigo,es La Liga,21,1995,1,90,90,2.6,1.0,1,,1,0,,2,3.00,2,1,+1,+1.00,+1.46,Matches
686,Benoît Costil\Benoit-Costil,fr FRA,GK,Rennes,fr Ligue 1,29,1987,38,3420,90,100.0,38.0,38,,38,0,,0,1.32,36,42,-6,-0.16,,Matches
687,Karim Coulibaly\Karim-Coulibaly,fr FRA,FWMF,Nancy,fr Ligue 1,23,1993,9,560,62,16.4,6.2,6,,1,3,,7,1.22,5,6,-1,-0.16,+0.53,Matches
688,Lassana Coulibaly\Lassana-Coulibaly,ml MLI,MF,Bastia,fr Ligue 1,20,1996,30,2277,76,66.6,25.3,25,,19,5,,5,0.97,18,38,-20,-0.79,-0.40,Matches
689,Mamadou Coulibaly\Mamadou-Coulibaly,sn SEN,MF,Pescara,it Serie A,17,1999,9,486,54,14.2,5.4,6,,2,3,,1,0.33,3,13,-10,-1.85,-0.81,Matches
690,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,eng Premier League,24,1992,36,3240,90,94.7,36.0,36,,36,0,,0,2.50,81,28,+53,+1.47,+1.97,Matches
691,Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,Liverpool,eng Premier League,24,1992,31,2227,72,65.1,24.7,28,,9,3,,0,2.00,51,27,+24,+0.97,+0.06,Matches
692,Mattia Cozzari\Mattia-Cozzari,it ITA,MF,Bologna,it Serie A,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
693,Luca Crecco\Luca-Crecco,it ITA,MF,Lazio,it Serie A,20,1995,3,56,19,1.6,0.6,0,,0,3,,13,1.00,1,0,+1,+1.61,+1.02,Matches
694,Alessandro Crescenzi\Alessandro-Crescenzi,it ITA,DFMF,Pescara,it Serie A,24,1991,21,1407,67,41.1,15.6,14,,12,7,,13,0.14,9,35,-26,-1.66,-0.86,Matches
695,Aaron Cresswell\Aaron-Cresswell,eng ENG,DFMF,West Ham,eng Premier League,26,1989,26,2116,81,61.9,23.5,24,,20,2,,1,1.31,32,35,-3,-0.13,+0.84,Matches
696,Lorenzo Crisanto\Lorenzo-Crisanto,it ITA,GK,Roma,it Serie A,18,1998,0,,,,,0,,0,0,,5,,,,,,,Matches
697,Lorenzo Crisetig\Lorenzo-Crisetig,it ITA,MF,Bologna,it Serie A,23,1993,0,,,,,0,,0,0,,3,,,,,,,Matches
698,Lorenzo Crisetig\Lorenzo-Crisetig,it ITA,MF,Crotone,it Serie A,23,1993,32,2538,79,74.2,28.2,29,,24,3,,1,0.84,27,48,-21,-0.74,-0.44,Matches
699,Bryan Cristante\Bryan-Cristante,it ITA,MF,Atalanta,it Serie A,21,1995,12,664,55,19.4,7.4,7,,4,5,,5,2.17,10,6,+4,+0.54,-0.01,Matches
700,Bryan Cristante\Bryan-Cristante,it ITA,MF,Pescara,it Serie A,21,1995,16,979,61,28.6,10.9,10,,6,6,,4,0.44,9,24,-15,-1.38,-0.31,Matches
701,Sebastián Cristóforo\Sebastian-Cristoforo,uy URU,MF,Fiorentina,it Serie A,22,1993,19,691,36,20.2,7.7,7,,1,12,,17,1.74,9,16,-7,-0.91,-1.34,Matches
702,Enzo Crivelli\Enzo-Crivelli,fr FRA,FW,Bastia,fr Ligue 1,21,1995,24,2073,86,60.6,23.0,24,,15,0,,0,1.17,20,28,-8,-0.35,+0.79,Matches
703,Daniele Croce\Daniele-Croce,it ITA,MF,Empoli,it Serie A,33,1982,35,2929,84,85.6,32.5,32,,29,3,,2,0.89,28,51,-23,-0.71,+0.94,Matches
704,Luca Crosta\Luca-Crosta,it ITA,GK,Cagliari,it Serie A,18,1998,1,90,90,2.6,1.0,1,,1,0,,18,3.00,2,1,+1,+1.00,+1.59,Matches
705,Peter Crouch\Peter-Crouch,eng ENG,FW,Stoke City,eng Premier League,35,1981,27,1343,50,39.3,14.9,13,,8,14,,11,1.22,20,23,-3,-0.20,+0.32,Matches
706,Juan Cuadrado\Juan-Cuadrado,co COL,MFFW,Juventus,it Serie A,28,1988,30,2096,70,61.3,23.3,21,,10,9,,4,2.33,42,20,+22,+0.94,-0.96,Matches
707,Adrián Cubas\Adrian-Cubas,py PAR,MF,Pescara,it Serie A,20,1996,1,9,9,0.3,0.1,0,,0,1,,14,0.00,0,0,0,0.00,+1.16,Matches
708,Tommaso Cucchietti\Tommaso-Cucchietti,it ITA,GK,Torino,it Serie A,18,1998,0,,,,,0,,0,0,,32,,,,,,,Matches
709,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Sporting Gijón,es La Liga,32,1984,36,3240,90,94.7,36.0,36,,36,0,,0,0.78,38,69,-31,-0.86,-1.36,Matches
710,Isaac Cuenca\Isaac-Cuenca,es ESP,MFDF,Granada,es La Liga,25,1991,25,1749,70,51.1,19.4,18,,16,7,,7,0.72,13,43,-30,-1.54,-0.36,Matches
711,Joffrey Cuffaut\Joffrey-Cuffaut,fr FRA,DF,Nancy,fr Ligue 1,28,1988,30,2568,86,75.1,28.5,29,,26,1,,6,0.97,26,38,-12,-0.42,+0.74,Matches
712,Giuseppe Cuomo\Giuseppe-Cuomo,it ITA,DF,Crotone,it Serie A,18,1998,1,4,4,0.1,0.0,0,,0,1,,11,0.00,0,0,0,0.00,+0.63,Matches
713,Eric Curbelo\Eric-Curbelo,es ESP,DF,Las Palmas,es La Liga,22,1994,0,,,,,0,,0,0,,1,,,,,,,Matches
714,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Milan,it Serie A,18,1998,1,6,6,0.2,0.1,0,,0,1,,9,3.00,1,0,+1,+15.00,+14.71,Matches
715,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Nice,fr Ligue 1,21,1995,29,2431,84,71.1,27.0,27,,24,2,,0,2.17,44,22,+22,+0.81,+0.36,Matches
716,Marco D'Alessandro\Marco-DAlessandro,it ITA,MFFW,Atalanta,it Serie A,25,1991,24,767,32,22.4,8.5,4,,2,20,,12,1.63,16,7,+9,+1.06,+0.65,Matches
717,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,it Serie A,27,1988,32,2829,88,82.7,31.4,32,,30,0,,6,1.81,65,40,+25,+0.80,+1.10,Matches
718,Piermarco D'Angelo\Piermarco-DAngelo,it ITA,MF,Pescara,it Serie A,16,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
719,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Caen,fr Ligue 1,28,1988,36,3167,88,92.6,35.2,36,,32,0,,0,1.00,34,60,-26,-0.74,+0.33,Matches
720,Bryan Dabo\Bryan-Dabo,bf BFA,MFDF,Saint-Étienne,fr Ligue 1,24,1992,14,643,46,18.8,7.1,8,,3,6,,9,1.29,4,6,-2,-0.28,-0.31,Matches
721,Mouhamadou Dabo\Mouhamadou-Dabo,fr FRA,DF,Caen,fr Ligue 1,29,1986,2,146,73,4.3,1.6,2,,1,0,,1,1.50,3,3,0,0.00,+0.80,Matches
722,Julien Dacosta\Julien-Dacosta,fr FRA,DF,Marseille,fr Ligue 1,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
723,Riccardo Daga\Riccardo-Daga,it ITA,GK,Cagliari,it Serie A,16,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
724,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,M'Gladbach,de Bundesliga,20,1996,28,2274,81,74.3,25.3,26,,17,2,,5,1.46,36,34,+2,+0.08,+0.77,Matches
725,Dario Dainelli\Dario-Dainelli,it ITA,DF,Chievo,it Serie A,37,1979,26,2191,84,64.1,24.3,25,,24,1,,5,1.19,27,40,-13,-0.53,-0.17,Matches
726,Felipe dal Belo\Felipe-dal-Belo,br BRA,DF,Udinese,it Serie A,32,1984,32,2813,88,82.3,31.3,31,,31,1,,2,1.19,34,43,-9,-0.29,-0.29,Matches
727,Maurice Dalé\Maurice-Dale,fr FRA,FW,Nancy,fr Ligue 1,31,1985,25,1462,58,42.7,16.2,16,,10,9,,4,0.96,16,26,-10,-0.62,-0.02,Matches
728,Samuele Damiani\Samuele-Damiani,it ITA,MF,Empoli,it Serie A,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
729,Gaël Danic\Gael-Danic,fr FRA,MF,Bastia,fr Ligue 1,34,1981,29,1843,64,53.9,20.5,19,,7,10,,3,0.90,18,32,-14,-0.68,-0.06,Matches
730,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,eng Premier League,29,1986,34,3060,90,89.5,34.0,34,,34,0,,0,1.26,47,53,-6,-0.18,+1.32,Matches
731,Danilo\Danilo,br BRA,DF,Real Madrid,es La Liga,25,1991,17,1484,87,43.4,16.5,17,,15,0,,15,2.76,52,18,+34,+2.06,+0.62,Matches
732,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,29,1987,23,1797,78,52.5,20.0,19,,19,4,,1,1.17,27,36,-9,-0.45,-0.23,Matches
733,Kevin Danso\Kevin-Danso,at AUT,DF,Augsburg,de Bundesliga,17,1998,7,612,87,20.0,6.8,7,,6,0,,7,0.71,8,18,-10,-1.47,-1.25,Matches
734,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,32,1983,33,2970,90,86.8,33.0,33,,33,0,,1,2.09,57,32,+25,+0.76,+0.36,Matches
735,Romain Danzé\Romain-Danze,fr FRA,DF,Rennes,fr Ligue 1,30,1986,35,3092,88,90.4,34.4,34,,34,1,,1,1.31,33,40,-7,-0.20,-0.48,Matches
736,Palkó Dárdai\Palko-Dardai,hu HUN,MF,Hertha BSC,de Bundesliga,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
737,Sergi Darder\Sergi-Darder,es ESP,MF,Lyon,fr Ligue 1,22,1993,23,1414,61,41.3,15.7,15,,7,8,,13,1.52,29,16,+13,+0.83,+0.11,Matches
738,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,25,1990,25,2041,82,66.7,22.7,21,,15,4,,0,1.48,27,30,-3,-0.13,-0.04,Matches
739,Tendayi Darikwa\Tendayi-Darikwa,zw ZIM,DFMF,Burnley,eng Premier League,24,1991,0,,,,,0,,0,0,,18,,,,,,,Matches
740,Matteo Darmian\Matteo-Darmian,it ITA,DF,Manchester Utd,eng Premier League,26,1989,18,1333,74,39.0,14.8,15,,12,3,,8,1.94,16,8,+8,+0.54,-0.19,Matches
741,Ben Davies\Ben-Davies,wal WAL,DFMF,Tottenham,eng Premier League,23,1993,23,1739,76,50.8,19.3,18,,17,5,,11,2.57,47,13,+34,+1.76,+0.37,Matches
742,Curtis Davies\Curtis-Davies,eng ENG,DF,Hull City,eng Premier League,31,1985,26,2135,82,62.4,23.7,25,,20,1,,2,0.73,20,53,-33,-1.39,-0.69,Matches
743,Tom Davies\Tom-Davies,eng ENG,MF,Everton,eng Premier League,18,1998,24,1544,64,45.1,17.2,18,,12,6,,2,1.83,29,17,+12,+0.70,+0.41,Matches
744,Steven Davis\Steven-Davis,nir NIR,MF,Southampton,eng Premier League,31,1985,32,2643,83,77.3,29.4,29,,26,3,,2,1.16,32,37,-5,-0.17,+0.06,Matches
745,Craig Dawson\Craig-Dawson,eng ENG,DF,West Brom,eng Premier League,26,1990,37,3276,89,95.8,36.4,37,,35,0,,0,1.14,40,50,-10,-0.27,-1.52,Matches
746,Michael Dawson\Michael-Dawson,eng ENG,DF,Hull City,eng Premier League,32,1983,22,1722,78,50.4,19.1,19,,19,3,,2,0.77,15,44,-29,-1.52,-0.77,Matches
747,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,25,1991,36,2877,80,84.1,32.0,33,,22,3,,1,2.08,68,34,+34,+1.06,-0.10,Matches
748,Pietro De Giorgio\Pietro-De-Giorgio,it ITA,MF,Crotone,it Serie A,33,1983,1,11,11,0.3,0.1,0,,0,1,,1,0.00,0,1,-1,-8.18,-7.57,Matches
749,Manuel De Luca\Manuel-De-Luca,it ITA,FW,Torino,it Serie A,18,1998,0,,,,,0,,0,0,,6,,,,,,,Matches
750,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Fiorentina,it Serie A,29,1987,6,540,90,15.8,6.0,6,,6,0,,32,1.33,12,15,-3,-0.50,-0.78,Matches
751,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,FWMF,Udinese,it Serie A,22,1994,34,2337,69,68.3,26.0,32,,10,2,,2,1.24,33,27,+6,+0.23,+1.48,Matches
752,Nill De Pauw\Nill-De-Pauw,cd COD,FWMF,Guingamp,fr Ligue 1,26,1990,28,761,27,22.3,8.5,3,,1,25,,10,1.11,15,16,-1,-0.12,+0.08,Matches
753,Daniele De Rossi\Daniele-De-Rossi,it ITA,MF,Roma,it Serie A,33,1983,31,2341,76,68.5,26.0,27,,18,4,,4,2.13,56,30,+26,+1.00,-1.17,Matches
754,Morgan De Sanctis\Morgan-De-Sanctis,it ITA,GK,Monaco,fr Ligue 1,39,1977,1,90,90,2.6,1.0,1,,1,0,,33,3.00,4,1,+3,+3.00,+1.03,Matches
755,Eros De Santis\Eros-De-Santis,it ITA,DF,Roma,it Serie A,18,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
756,Julien De Sart\Julien-De-Sart,be BEL,MF,Middlesbrough,eng Premier League,21,1994,0,,,,,0,,0,0,,3,,,,,,,Matches
757,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Milan,it Serie A,23,1992,25,2091,84,61.1,23.2,23,,20,2,,3,1.64,38,32,+6,+0.26,-0.15,Matches
758,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Torino,it Serie A,28,1988,16,1254,78,36.7,13.9,15,,11,1,,19,1.19,27,30,-3,-0.22,-0.55,Matches
759,Zak Dearnley\Zak-Dearnley,eng ENG,FW,Manchester Utd,eng Premier League,17,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
760,Lucas Deaux\Lucas-Deaux,fr FRA,MF,Guingamp,fr Ligue 1,27,1988,38,3075,81,89.9,34.2,35,,27,3,,0,1.32,38,47,-9,-0.26,-0.79,Matches
761,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Arsenal,eng Premier League,31,1985,1,15,15,0.4,0.2,1,,0,0,,0,3.00,1,0,+1,+6.00,+5.15,Matches
762,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,eng Premier League,28,1988,37,2944,80,86.1,32.7,31,,28,6,,1,1.00,36,52,-16,-0.49,+1.78,Matches
763,Jermain Defoe\Jermain-Defoe,eng ENG,FW,Sunderland,eng Premier League,33,1982,37,3321,90,97.1,36.9,37,,35,0,,0,0.65,28,63,-35,-0.95,+3.60,Matches
764,Steven Defour\Steven-Defour,be BEL,MF,Burnley,eng Premier League,28,1988,21,1068,51,31.2,11.9,16,,0,5,,8,1.33,16,13,+3,+0.25,+0.98,Matches
765,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FW,Sassuolo,it Serie A,25,1991,29,1954,67,57.1,21.7,23,,11,6,,1,1.10,32,33,-1,-0.05,+0.20,Matches
766,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,it Serie A,20,1995,5,244,49,7.1,2.7,3,,0,2,,11,2.00,5,3,+2,+0.74,+1.39,Matches
767,Mattia Del Favero\Mattia-Del-Favero,it ITA,GK,Juventus,it Serie A,18,1998,0,,,,,0,,0,0,,3,,,,,,,Matches
768,Ferdinando Del Sole\Ferdinando-Del-Sole,it ITA,MF,Pescara,it Serie A,18,1998,0,,,,,0,,0,0,,4,,,,,,,Matches
769,Damien Delaney\Damien-Delaney,ie IRL,DF,Crystal Palace,eng Premier League,35,1981,30,2014,67,58.9,22.4,21,,19,9,,6,1.13,24,40,-16,-0.71,-0.91,Matches
770,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Werder Bremen,de Bundesliga,24,1991,13,916,70,29.9,10.2,11,,6,2,,0,1.23,21,23,-2,-0.20,-0.15,Matches
771,Jonathan Delaplace\Jonathan-Delaplace,fr FRA,MF,Caen,fr Ligue 1,30,1986,33,2637,80,77.1,29.3,31,,20,2,,1,1.09,28,43,-15,-0.51,+1.10,Matches
772,Paul Delecroix\Paul-Delecroix,fr FRA,GK,Lorient,fr Ligue 1,27,1988,7,630,90,18.4,7.0,7,,7,0,,30,1.14,11,18,-7,-1.00,-0.39,Matches
773,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Sassuolo,it Serie A,22,1994,9,775,86,22.7,8.6,9,,8,0,,21,0.67,7,13,-6,-0.70,-0.73,Matches
774,Filippo Delli Carri\Filippo-Delli-Carri,it ITA,DF,Pescara,it Serie A,17,1999,0,,,,,0,,0,0,,7,,,,,,,Matches
775,Andy Delort\Andy-Delort,dz ALG,FW,Toulouse,fr Ligue 1,24,1991,15,1218,81,35.6,13.5,15,,6,0,,0,1.13,12,13,-1,-0.07,+0.05,Matches
776,Fabian Delph\Fabian-Delph,eng ENG,MF,Manchester City,eng Premier League,26,1989,7,224,32,6.5,2.5,2,,2,5,,6,2.29,6,4,+2,+0.80,-0.29,Matches
777,Mousa Dembélé\Mousa-Dembele,be BEL,MF,Tottenham,eng Premier League,29,1987,30,2056,69,60.1,22.8,24,,8,6,,1,2.20,49,17,+32,+1.40,-0.45,Matches
778,Ousmane Dembélé\Ousmane-Dembele,fr FRA,MFFW,Dortmund,de Bundesliga,19,1997,32,2036,64,66.5,22.6,22,,8,10,,1,1.81,52,29,+23,+1.02,+0.23,Matches
779,Martín Demichelis\Martin-Demichelis,ar ARG,DF,Espanyol,es La Liga,35,1980,2,100,50,2.9,1.1,1,,1,1,,6,2.00,3,3,0,0.00,+0.03,Matches
780,Martín Demichelis\Martin-Demichelis,ar ARG,DF,Málaga,es La Liga,35,1980,10,680,68,19.9,7.6,7,,7,3,,7,0.90,7,10,-3,-0.40,-0.30,Matches
781,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Hoffenheim,de Bundesliga,23,1993,28,2169,77,70.9,24.1,27,,13,1,,2,1.96,48,26,+22,+0.91,+0.41,Matches
782,Diego Demme\Diego-Demme,de GER,MF,RB Leipzig,de Bundesliga,24,1991,32,2870,90,93.8,31.9,32,,30,0,,1,2.06,65,37,+28,+0.88,+1.35,Matches
783,Jason Denayer\Jason-Denayer,be BEL,MFDF,Sunderland,eng Premier League,21,1995,24,1877,78,54.9,20.9,22,,17,2,,1,0.92,15,30,-15,-0.72,+0.74,Matches
784,Fabio Depaoli\Fabio-Depaoli,it ITA,MFDF,Chievo,it Serie A,19,1997,6,446,74,13.0,5.0,5,,3,1,,14,1.17,7,11,-4,-0.81,-0.38,Matches
785,Memphis Depay\Memphis-Depay,nl NED,FWMF,Manchester Utd,eng Premier League,22,1994,4,24,6,0.7,0.3,0,,0,4,,1,1.25,0,1,-1,-3.75,-4.44,Matches
786,Memphis Depay\Memphis-Depay,nl NED,MFFW,Lyon,fr Ligue 1,22,1994,17,1188,70,34.7,13.2,13,,7,4,,0,1.59,28,21,+7,+0.53,-0.36,Matches
787,Quentin Depehi\Quentin-Depehi,fr FRA,FW,Toulouse,fr Ligue 1,19,1997,1,12,12,0.4,0.1,0,,0,1,,1,0.00,1,0,+1,+7.50,+7.63,Matches
788,Mathieu Deplagne\Mathieu-Deplagne,fr FRA,DF,Montpellier,fr Ligue 1,24,1991,19,1125,59,32.9,12.5,14,,7,5,,16,1.16,15,27,-12,-0.96,-0.72,Matches
789,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Swansea City,eng Premier League,23,1992,8,662,83,19.4,7.4,7,,7,1,,16,0.50,6,20,-14,-1.90,-1.54,Matches
790,Rémy Descamps\Remy-Descamps,fr FRA,GK,Paris S-G,fr Ligue 1,20,1996,0,,,,,0,,0,0,,5,,,,,,,Matches
791,Daniele Dessena\Daniele-Dessena,it ITA,MF,Cagliari,it Serie A,29,1987,18,1185,66,34.6,13.2,16,,5,2,,3,0.89,12,27,-15,-1.14,-0.90,Matches
792,Mattia Destro\Mattia-Destro,it ITA,FW,Bologna,it Serie A,25,1991,30,2467,82,72.1,27.4,28,,22,2,,2,1.20,31,38,-7,-0.26,+0.78,Matches
793,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FWMF,Everton,eng Premier League,22,1994,11,460,42,13.5,5.1,4,,1,7,,5,1.18,10,6,+4,+0.78,+0.36,Matches
794,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FWMF,Milan,it Serie A,22,1994,17,1459,86,42.7,16.2,16,,12,1,,0,1.53,23,19,+4,+0.25,-0.12,Matches
795,Deyverson\Deyverson,br BRA,FW,Alavés,es La Liga,25,1991,32,2577,81,75.4,28.6,29,,23,3,,2,1.38,30,32,-2,-0.07,-0.07,Matches
796,Federico Di Francesco\Federico-Di-Francesco,it ITA,FWMF,Bologna,it Serie A,22,1994,24,1088,45,31.8,12.1,11,,5,13,,9,1.08,15,17,-2,-0.17,+0.45,Matches
797,Davide Di Gennaro\Davide-Di-Gennaro,it ITA,MFFW,Cagliari,it Serie A,28,1988,20,1434,72,41.9,15.9,17,,9,3,,16,1.10,22,30,-8,-0.50,+0.09,Matches
798,Ángel Di María\Angel-Di-Maria,ar ARG,FW,Paris S-G,fr Ligue 1,28,1988,29,2036,70,59.5,22.6,24,,10,5,,1,2.14,44,18,+26,+1.15,-0.80,Matches
799,Nunzio Di Roberto\Nunzio-Di-Roberto,it ITA,FW,Crotone,it Serie A,30,1985,1,9,9,0.3,0.1,0,,0,1,,1,0.00,0,0,0,0.00,+0.63,Matches
800,Franco Di Santo\Franco-Di-Santo,ar ARG,FWMF,Schalke 04,de Bundesliga,27,1989,12,323,27,10.6,3.6,3,,0,9,,3,0.92,6,3,+3,+0.84,+0.77,Matches
801,Issiar Dia\Issiar-Dia,sn SEN,FW,Nancy,fr Ligue 1,29,1987,31,2000,65,58.5,22.2,22,,8,9,,1,0.90,21,27,-6,-0.27,+0.81,Matches
802,Cheick Diabaté\Cheick-Diabate,ml MLI,FW,Metz,fr Ligue 1,28,1988,14,1055,75,30.8,11.7,12,,8,2,,1,1.57,18,17,+1,+0.09,+1.38,Matches
803,Fousseni Diabaté\Fousseni-Diabate,ml MLI,FWMF,Guingamp,fr Ligue 1,20,1995,0,,,,,0,,0,0,,2,,,,,,,Matches
804,Abou Diaby\Abou-Diaby,fr FRA,MF,Marseille,fr Ligue 1,30,1986,2,128,64,3.7,1.4,2,,0,0,,0,0.50,0,2,-2,-1.41,-1.90,Matches
805,Fallou Diagne\Fallou-Diagne,sn SEN,MF,Metz,fr Ligue 1,26,1989,12,999,83,29.2,11.1,12,,8,0,,3,1.08,11,19,-8,-0.72,+0.21,Matches
806,Fallou Diagne\Fallou-Diagne,sn SEN,DF,Werder Bremen,de Bundesliga,26,1989,2,135,68,4.4,1.5,2,,1,0,,1,0.00,0,10,-10,-6.67,-6.88,Matches
807,Modou Diagne\Modou-Diagne,sn SEN,DF,Nancy,fr Ligue 1,22,1994,22,1846,84,54.0,20.5,21,,19,1,,4,0.82,17,32,-15,-0.73,-0.27,Matches
