Player,Nation,Pos,Born,Rk,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Michel Vorm,nl NED,GK,1983,48.0,eng Tottenham,34,2.0,1.0,99.0,1.1,3.0,2.73,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Marco Wölfli,ch SUI,GK,1982,49.0,ch Young Boys,35,2.0,2.0,180.0,2.0,2.0,1.0,10.0,8.0,80.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Jeroen Zoet,nl NED,GK,1991,50.0,nl PSV Eindhoven,27,6.0,6.0,540.0,6.0,13.0,2.17,51.0,38.0,74.5,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Adrián,es ESP,GK,1987,1.0,eng Liverpool,32,3.0,3.0,300.0,3.3,8.0,2.4,15.0,8.0,53.3,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Alisson,br BRA,GK,1992,2.0,eng Liverpool,26,5.0,5.0,450.0,5.0,4.0,0.8,16.0,12.0,75.0,3.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,,Matches
Alphonse Areola,fr FRA,GK,1993,3.0,es Real Madrid,26,2.0,1.0,135.0,1.5,1.0,0.67,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Kepa Arrizabalaga,es ESP,GK,1994,4.0,eng Chelsea,24,6.0,6.0,540.0,6.0,9.0,1.5,18.0,11.0,50.0,3.0,2.0,1.0,1.0,16.7,1.0,0.0,1.0,0.0,100.0,Matches
Milan Borjan,ca CAN,GK,1987,5.0,rs Red Star,31,6.0,6.0,540.0,6.0,20.0,3.33,51.0,32.0,64.7,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches
Claudio Bravo,cl CHI,GK,1983,6.0,eng Manchester City,36,2.0,1.0,125.0,1.4,2.0,1.44,3.0,1.0,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Gianluigi Buffon,it ITA,GK,1978,7.0,it Juventus,41,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
